file_path,expected_topic,predicted_topic_gpt4o,predicted_topic_llama
Cleaned_Data_v2/Financial/Investment and Market Research/finanalysis_sample_reports.txt,Investment and Market Research,unknown,unknown
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-2q-2022.txt,Risk Assessment Reports and Frameworks,unknown,unknown
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/Money Laundering National Risk Assessment.txt,Risk Assessment Reports and Frameworks,Risk Assessment Reports and Frameworks,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Legal and Contractual/Non-Disclosure Agreements (NDA)/GEL-NDA.txt,Non-Disclosure Agreements (NDA),unknown,unknown
Cleaned_Data_v2/Financial/Annual Reports/2023-annual-report-en.txt,Annual Reports,unknown,unknown
Cleaned_Data_v2/Regulatory and Compliance/Taxation/etaxguides_iit_tax-framework-for-corporate-amalgamations-(fourth-edition).txt,Taxation,Taxation,unknown
Cleaned_Data_v2/Financial/Financial Statements/uobar2020.txt,Financial Statements,Annual Reports,unknown
Cleaned_Data_v2/Financial/Financial Statements/Balance_sheets30June17.txt,Financial Statements,Financial Statements,unknown
Cleaned_Data_v2/Regulatory and Compliance/Anti Money Laundering/Guidance to Capital Markets Intermediaries on Enhancing AMLCFT Frameworks and Controls.txt,Anti Money Laundering,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Financial/Financial Statements/Audited-Results-For-Year-Ended-31-Dec-2020.txt,Financial Statements,Financial Statements,unknown
Cleaned_Data_v2/Regulatory and Compliance/Anti Money Laundering/Notice PSN01 dated 2 April 2024.txt,Anti Money Laundering,unknown,unknown
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-2q-2019.txt,Risk Assessment Reports and Frameworks,unknown,Risk Management
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/Compliance Toolkit for Merchant Banks Last Revised 12 September 2024.txt,Consumer Finance,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Financial/Annual Reports/annual-report-2019.txt,Annual Reports,unknown,unknown
Cleaned_Data_v2/Financial/Financial Statements/condensed-financial-statement-2q-2022.txt,Financial Statements,unknown,unknown
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/Response to Consultation Paper on Management of Outsourced Relevant Services.txt,Risk Management,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Regulatory and Compliance/Financial Regulations/The Singapore Guide to Conduct and Market Practices for the Wholesale Financial Markets.txt,Financial Regulations,unknown,unknown
Cleaned_Data_v2/Regulatory and Compliance/Audit Reports/audit-regulatory-report-2023.txt,Audit Reports,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Legal and Contractual/Client Agreements/capitalxtend-client-agreement-v10-28112023.txt,Client Agreements,Client Agreements,unknown
Cleaned_Data_v2/Financial/Financial Statements/liquidity-coverage-ratio-4q-2017.txt,Financial Statements,Risk Management,unknown
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-1q-2023.txt,Risk Assessment Reports and Frameworks,unknown,Risk Assessment Reports and Frameworks
